"Images","Title","Description","Brand","Condition","Primary Color","Secondary Color","Tags","Sku","Category","Price","Status","Listed Date","Sold Date","Shipped Date","Listing Platforms","Sold Platform","Internal Notes","Price Sold","Cost of Goods","Marketplace Fees","Shipping Expenses","Labels","Quantity Left","Quantity Sold"
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/74394bac-e50c-4027-83e7-5f98e406f81d.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600","Lynne Ritchie mesh floral bell sleeve sheer top L","Sheer stretch mesh blouse with bold floral, swirl, and cityscape print in vibrant colors.
Scoop neck, flared 3/4 bell sleeves, and semi-fitted silhouette.

Approx. 18” pit to pit, 24.5” length.

","Lynn Ritchie","Pre-Owned - Excellent","Pink","Red","meshcore, artisticprint, bohostyle, sheerblouse","","Tops","22.99","Sold","2025-07-16","2025-08-18","","Etsy, eBay","eBay","length: 24.5in
p2p: 18in
og tp 11","21.95","1.24","5.3","4.89","raghouse, clothing, A3","","1"
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/0161b4d6-847a-45ba-a72d-6f0f729ddd29.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600","Wrangler XL Workwear Denim Shirt Blue Button Front Rugged Wear Casual Long","Workwear Wrangler Rugged Wear denim shirt with dual chest pockets and logo patch in classic blue.

Regular fit in 100% cotton denim, styled for casual everyday wear or work.

Size: XL

Condition: Good pre-owned; no major flaws. See photos for details.

Measurements: See photos for full measurements.

OFFERS WELCOME! Ships next business day if ordered by 5pm CT/6pm ET.

15% off bundles of 2+ items.","Wrangler","Pre-Owned - Good","Blue","","","","Casual Button-Down Shirts","38","Active","2025-12-09","","","eBay, Mercari, Depop, Poshmark","","Cost: $7 | Mat: $0.23 | Ship: $0 | Target: $13 | Markup: { Etsy: 35% | eBay: 50% | Depop: 85% | Poshmark: 20% | Mercari: 20% }","","3","","","raghouse, clothing, A14, fleamarket","1",""
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/9988707e-6648-4959-adc8-8fb65b855b9c.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600","SINCERELY JULES Y2K Distressed Straight Leg Jeans - Light Blue High Rise Grunge","Y2K grunge Sincerely Jules jeans with heavy distressing and button fly in light blue solid denim.

High-rise straight leg silhouette in soft cotton blend, styled for transitional seasons and casual streetwear.

Condition: Good; Flaws: mild general wear, frayed hems and pockets as designed, see photos for details.

Measurements: See photos for full measurements.

Offers welcome! Next day shipping if ordered by 5pm CT/6pm ET. 15% off bundles of 2+ items.

","Sincerely Jules","Pre-Owned - Good","Blue","","","","Jeans","11","Active","2025-11-01","","","eBay, Mercari, Depop, Poshmark","","og tp 11","","0","","","A10, 60days+, clothing, bianca, cog:0, 5profit","1",""
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/91eae6a3-a96e-4800-a22d-73f14111894c.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600","Ivy Classics plaid button down shirt 90s preppy USA made","Preppy vintage, Ivy style, 90s classic

Crisp cotton long sleeve button-up with blue, tan, and red plaid pattern. Button-down collar and chest pocket. Traditional American style, made in USA.

Gently used.

Measurements: pit to pit 21"", length 28.5"", sleeve 24""

Only one available – don’t miss it!","Ivy Classics","Pre-Owned - Good","Blue","Red","vintage menswear, 90s preppy, ivy style, USA made, plaid button down, classic fit shirt, long sleeve, fall fashion","","Casual Button-Down Shirts","30.99","Sold","2025-07-30","2025-12-22","","eBay","eBay","sleeve: 24
length: 28.5
p2p: 21
og tp: 16","20.14","1.24","5.25","6.18","raghouse, clothing, A3","","1"
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/c6dd1a67-4038-4653-8414-adfd121f9388.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600","Sincerely Jules Active Tank Top Large Yellow Striped Mesh Back","Sincerely Jules activewear tank top in a white and yellow stripe pattern. Features a breathable mesh back panel and a relaxed, sleeveless fit. Lightweight and perfect for workouts or casual wear.

Size: Large (US L / CA L / G L / EU L / AU L)

Condition: Pre-Owned - Good. Shows light wear. No major flaws noted. See photos for details.

Measurements: See photos for measurements.

OFFERS WELCOME! Ships in 1-2 business days.

15% off bundles of 2+ items.","Sincerely Jules","Pre-Owned - Good","White","Beige","Sincerely Jules, Activewear, Tank Top, Striped, Mesh, Yoga, Athleisure","undefined","Tops","15","Active","2026-02-08","","","eBay, Mercari, Depop, Poshmark","","","","0","","","A10, cog:0, mycloset","1",""
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/861b1141-6b4d-465c-8a07-c7996d8d2e7f.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600","Gildan L Cool Mom’s Club Graphic Tee Gray Relaxed Fit","Modern momcore Gildan Softstyle graphic t-shirt featuring embroidered Cool Mom’s Club lettering in gray with colorful accents. Relaxed fit jersey knit fabric that’s lightweight and comfortable for everyday wear.

Excellent pre-owned condition; no visible flaws. See photos for details.

Measurements: See photos for full measurements.

OFFERS WELCOME! Ships in 1-2 business days.
15% off bundles of 2+ items.","Gildan","Pre-Owned - Excellent","Gray","Yellow","","","Tops","24","Active","2026-01-29","","","eBay, Mercari, Depop, Poshmark","","","","0","","","andrea, A11, cog:0","1",""
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/a9bc5d18-39fa-4bf0-aae7-8a778cce510a.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600","Denim & Co L Vintage Utility Shirt Jacket Burgundy Red","Vintage Denim & Co. utility safari-style shirt jacket in deep burgundy/red cranberry color. Features pointed collar, dual chest pockets with pointed flaps, and button closures throughout.

Relaxed fit in soft microsuede, styled for fall/spring.

Size: L

Measurements:
- Pit to pit: 22.5""
- Length: 28""
- Sleeve: 23.5""

Condition: Excellent pre-owned; Flaws: None. See photos for details.

OFFERS WELCOME! Ships in 1-2 business days.

15% off bundles of 2+ items.","Denim & Co.","Pre-Owned - Good","Red","","denim & co, utility, safari, burgundy, red, shacket, vintage, button down","","Tops","24","Active","2026-02-18","","","eBay, Etsy, Mercari, Depop, Poshmark","","","","2.43","","","cog:2.43, A19","1",""
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/4f9790d2-9a08-4dc8-b35e-4a0ff09a7ccb.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600","Unbranded sunflower daisy cami crop top black y2k","Sunflower/daisy print cami crop with thin spaghetti straps. Stretch jersey fabric, fitted silhouette. Good condition with gentle wear.","Unbranded","Pre-Owned - Good","Black","Yellow","sunflower, daisy, floral, cami, crop top, spaghetti strap, black, yellow, y2k, coquette, festival, summer, streetwear, stretchy","","Tops","14","Active","2025-08-24","","","eBay, Mercari, Depop, Poshmark","","sleeve:
length:
p2p:
og tp: 2","","1.24","","","raghouse, clothing, A5, cog:1.24, firstbox, 120days+, 5profit","1",""
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/71909cde-83d1-4f6d-9a4d-26863585bf0d.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600","Street Fighter II Blanka vs Ryu & Chun-Li double-sided graphic tee (white) M retro gamer","Double-sided Street Fighter II graphic (1991 poster art vibe) with “Get Ready to Rumble!” back text. Soft cotton, regular fit. Condition: Good","Capcorn","Pre-Owned - Good","White","Beige","","","T-Shirts","19.99","Sold","2025-09-30","2025-11-23","","Depop","Depop","sleeve:
length:
p2p:
og tp: 4","5.85","2.76","1.35","0","raghouse, clothing, A8, Dirty White TV&Movie","","1"
"https://images.vendoo.co/images/iGdvg7VlwXfcCLWacExVLUM0rbh2/e375fd60-9824-42dc-bb57-e355f9249de2.jpeg?width=1600&height=1600&fit=bounds&bg-color=fff&canvas=1600,1600","Mervyn’s plaid western shirt short sleeve 90s","Western core vibes, soft pastel plaid
Lightweight woven poly blend with a classic fit, dual pointed chest pockets, and a retro 90s silhouette
Gently used – no major flaws
Measurements: pit to pit 22.5"", length 30"", sleeve 11""
Only one available – don’t miss it!","Mervyn’s","Pre-Owned - Good","Beige","Blue","90s style, retro plaid shirt, western aesthetic, vintage menswear, cowboy core, soft grunge, y2k dad shirt","","Casual Button-Down Shirts","14","Sold","2025-08-02","2026-02-07","","Etsy","Etsy","sleeve: 11
length: 30
p2p: 22.5
og tp: 13","9.85","1.24","1.14","5.39","raghouse, clothing, A3, cog:1.24, firstbox, 120days+, 5profit","","1"
